TEAM_NAME,win_last5,win_last10,PTS_last5,PTS_last10,PTS_ALLOWED_last5,PTS_ALLOWED_last10,point_diff_last5,point_diff_last10,net_rating_simple_last5,net_rating_simple_last10,FG_PCT_last5,FG_PCT_last10,FG3_PCT_last5,FG3_PCT_last10,FT_PCT_last5,FT_PCT_last10,REB_last5,REB_last10,AST_last5,AST_last10,TOV_last5,TOV_last10,home_win_last5,away_win_last5,season_win_pct,elo_rating
Oklahoma City Thunder,0.4,0.6,105.2,113.4,110.8,111.4,-5.6,2.0,-5.6,2.0,0.4222,0.46349999999999997,0.33199999999999996,0.359,0.859,0.837,43.2,40.6,24.4,25.6,13.6,12.3,0.6,0.6,0.7669902912621359,1729.4040300726508
San Antonio Spurs,0.6,0.6,110.8,116.3,105.2,108.3,5.6,8.0,5.6,8.0,0.4274,0.4614,0.33480000000000004,0.3425,0.8039999999999999,0.8240999999999999,44.4,47.9,25.4,25.0,13.2,15.2,0.8,0.6,0.7428571428571429,1729.0342910645152
Cleveland Cavaliers,0.2,0.4,104.6,105.9,113.8,111.6,-9.2,-5.7,-9.2,-5.7,0.442,0.4487,0.29379999999999995,0.3147,0.694,0.7358999999999999,39.4,38.3,22.4,21.7,15.4,15.2,0.4,0.4,0.5865384615384616,1584.2386406268652
New York Knicks,1.0,1.0,123.8,123.8,102.4,99.2,21.4,24.6,21.4,24.6,0.5162000000000001,0.5376,0.4154,0.39770000000000005,0.718,0.7384,46.2,45.0,29.0,28.8,11.8,12.0,1.0,1.0,0.6862745098039216,1685.091847252074
Detroit Pistons,0.2,0.6,106.8,107.7,112.8,104.4,-6.0,3.3,-6.0,3.3,0.45519999999999994,0.4605,0.376,0.394,0.7822,0.7819,39.8,42.8,24.0,23.0,14.8,13.5,0.6,0.4,0.69,1627.3933955755388
Minnesota Timberwolves,0.2,0.5,104.6,107.5,124.4,113.9,-19.8,-6.4,-19.8,-6.4,0.39840000000000003,0.43220000000000003,0.32920000000000005,0.33260000000000006,0.7784,0.7721,43.4,45.4,20.6,22.8,13.8,13.3,0.6,0.4,0.5656565656565656,1584.7083635096287
Los Angeles Lakers,0.2,0.4,102.6,102.2,111.4,107.1,-8.8,-4.9,-8.8,-4.9,0.45840000000000003,0.4758,0.393,0.38549999999999995,0.7636,0.7633,39.8,39.4,23.6,23.8,16.4,17.0,0.4,0.4,0.5918367346938775,1593.1187889356236
Philadelphia 76ers,0.2,0.4,103.4,104.3,119.4,112.0,-16.0,-7.7,-16.0,-7.7,0.45380000000000004,0.4535,0.3304,0.34720000000000006,0.7882,0.7876,34.8,37.8,21.4,21.4,13.2,11.1,0.2,0.6,0.5204081632653061,1540.34723718239
Toronto Raptors,0.6,0.5,110.6,113.0,108.4,111.0,2.2,2.0,2.2,2.0,0.45099999999999996,0.4925,0.3568,0.38110000000000005,0.7038,0.7289,42.6,39.7,26.4,26.8,13.0,13.5,1.0,0.0,0.5578947368421052,1533.8758053643203
Orlando Magic,0.4,0.4,97.8,101.0,103.6,102.9,-5.8,-1.9,-5.8,-1.9,0.39280000000000004,0.4081,0.3484,0.312,0.7102,0.7364999999999999,40.8,43.1,19.2,20.7,12.6,13.9,0.8,0.2,0.5578947368421052,1554.209233943362
